#
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
1.0,1.0,1.0,0.0,296232.8,296232.8,1353.04,296232.8
0.0,1.0,0.0,0.0,296273.88,296273.88,41.06,296273.88
0.0,0.0,1.0,0.0,296296.5,296296.5,22.616,296296.5
1.0,0.0,0.0,0.0,296327.5,296327.5,30.984,296327.5
0.0,0.0,0.0,0.0,296400.78,296400.78,73.28,296400.78
0.0,1.0,1.0,0.0,296419.66,296419.66,18.9,296419.66
1.0,1.0,0.0,0.0,296454.8,296454.8,35.136,296454.8
0.0,1.0,0.0,0.0,296528.25,296528.25,73.436,296528.25
1.0,1.0,0.0,0.0,296582.78,296582.78,54.54,296582.78
1.0,0.0,1.0,0.0,296619.1,296619.1,36.3,296619.1
0.0,0.0,0.0,0.0,296657.38,296657.38,38.296,296657.38
1.0,0.0,0.0,0.0,296711.97,296711.97,54.604,296711.97
1.0,1.0,1.0,0.0,296745.44,296745.44,33.472,296745.44
0.0,1.0,0.0,0.0,296786.22,296786.22,40.764,296786.22
0.0,0.0,1.0,1.0,296809.97,296809.97,23.74,296809.97
1.0,0.0,0.0,1.0,296841.56,296841.56,31.604,296841.56
0.0,0.0,0.0,1.0,296914.53,296914.53,72.96,296914.53
0.0,1.0,1.0,1.0,296933.8,296933.8,19.296,296933.8
1.0,1.0,0.0,1.0,296969.44,296969.44,35.62,296969.44
0.0,1.0,0.0,1.0,297041.97,297041.97,72.52,297041.97
1.0,1.0,0.0,1.0,297101.28,297101.28,59.332,297101.28
1.0,0.0,1.0,1.0,297131.88,297131.88,30.584,297131.88
0.0,0.0,0.0,1.0,297152.25,297152.25,20.364,297152.25
1.0,0.0,0.0,1.0,297179.2,297179.2,26.948,297179.2
1.0,1.0,1.0,1.0,297199.47,297199.47,20.276,297199.47
0.0,1.0,0.0,1.0,297224.03,297224.03,24.576,297224.03
0.0,0.0,1.0,1.0,297235.94,297235.94,11.896,297235.94
1.0,0.0,0.0,1.0,297252.84,297252.84,16.924,297252.84
0.0,0.0,0.0,1.0,297301.3,297301.3,48.464,297301.3
0.0,1.0,1.0,1.0,297313.16,297313.16,11.824,297313.16
1.0,1.0,0.0,1.0,297342.25,297342.25,29.116,297342.25
0.0,1.0,0.0,1.0,297414.6,297414.6,72.344,297414.6
1.0,1.0,0.0,1.0,297466.66,297466.66,52.064,297466.66
1.0,0.0,1.0,0.0,297501.75,297501.75,35.068,297501.75
0.0,0.0,0.0,0.0,297539.5,297539.5,37.772,297539.5
1.0,0.0,0.0,0.0,297592.38,297592.38,52.856,297592.38
1.0,1.0,1.0,0.0,297625.06,297625.06,32.688,297625.06
0.0,1.0,0.0,0.0,297665.9,297665.9,40.86,297665.9
0.0,0.0,1.0,0.0,297688.66,297688.66,22.732,297688.66
1.0,0.0,0.0,0.0,297719.66,297719.66,31.012,297719.66
0.0,0.0,0.0,0.0,297792.7,297792.7,73.028,297792.7
0.0,1.0,1.0,0.0,297811.47,297811.47,18.788,297811.47
1.0,1.0,0.0,0.0,297846.72,297846.72,35.232,297846.72
0.0,1.0,0.0,0.0,297920.2,297920.2,73.492,297920.2
1.0,1.0,0.0,0.0,297975.03,297975.03,54.828,297975.03
1.0,0.0,1.0,0.0,298011.1,298011.1,36.08,298011.1
0.0,0.0,0.0,0.0,298049.0,298049.0,37.904,298049.0
1.0,0.0,0.0,0.0,298103.8,298103.8,54.796,298103.8
1.0,1.0,1.0,0.0,298137.1,298137.1,33.296,298137.1
0.0,1.0,0.0,0.0,298177.47,298177.47,40.364,298177.47
0.0,0.0,1.0,1.0,298201.1,298201.1,23.64,298201.1
1.0,0.0,0.0,1.0,298232.72,298232.72,31.612,298232.72
0.0,0.0,0.0,1.0,298305.16,298305.16,72.432,298305.16
0.0,1.0,1.0,1.0,298324.53,298324.53,19.38,298324.53
1.0,1.0,0.0,1.0,298360.28,298360.28,35.752,298360.28
0.0,1.0,0.0,1.0,298432.72,298432.72,72.432,298432.72
1.0,1.0,0.0,1.0,298492.5,298492.5,59.784,298492.5
1.0,0.0,1.0,1.0,298523.7,298523.7,31.18,298523.7
0.0,0.0,0.0,1.0,298544.47,298544.47,20.788,298544.47
1.0,0.0,0.0,1.0,298572.16,298572.16,27.684,298572.16
1.0,1.0,1.0,1.0,298593.03,298593.03,20.896,298593.03
