#
ToothTime,Time
uS,uS
MARK 000
MARK 001
8.770,8.770
472,877079296
32,877079296
879101760,1756180992
51344,1756232320
72388,1756304768
42572,1756347392
64968,1756412416
39580,1756451968
61716,1756513664
38248,1756551936
60100,1756612096
37348,1756649472
59044,1756708480
36836,1756745344
58340,1756803712
36432,1756840192
57812,1756898048
36276,1756934272
57572,1756991872
36056,1757027968
57308,1757085312
35996,1757121280
57200,1757178496
35912,1757214464
57072,1757271552
35976,1757307520
57124,1757364608
35856,1757400448
57088,1757457536
35936,1757493504
57124,1757550592
35912,1757586560
57168,1757643776
36012,1757679744
57268,1757736960
35964,1757772928
57244,1757830144
36032,1757866240
57332,1757923584
35996,1757959552
57360,1758016896
36116,1758052992
57448,1758110464
36016,1758146432
57396,1758203776
36032,1758239744
57320,1758297088
36004,1758333056
57304,1758390400
36088,1758426496
57368,1758483840
36076,1758519936
57364,1758577280
36004,1758613248
57384,1758670592
36000,1758706560
57404,1758763904
36096,1758800000
57388,1758857344
36060,1758893440
57424,1758950912
36036,1758987008
57356,1759044352
36092,1759080448
57432,1759137920
36168,1759174144
57520,1759231616
36144,1759267712
57580,1759325312
36152,1759361408
59232,1759420672
40020,1759460736
69512,1759530240
48728,1759579008
90716,1759669760
70980,1759740800
165276,1759906048
231776,1760137856
887939840,2648077824
50708,2648128512
71816,2648200448
42476,2648242944
64828,2648307712
39540,2648347136
61736,2648408832
38196,2648446976
59872,2648506880
37328,2648544256
58940,2648603136
36964,2648640000
58452,2648698368
36632,2648734976
58172,2648793088
36484,2648829696
57868,2648887552
36296,2648923904
57752,2648981760
36380,2649018112
57736,2649075968
36292,2649112320
57628,2649169920
36280,2649206272
57520,2649263872
36196,2649299968
57524,2649357568
36288,2649393920
57648,2649451520
36272,2649487872
57676,2649545472
36240,2649581824
57624,2649639424
36184,2649675520
57584,2649733120
36304,2649769472
57664,2649827072
36236,2649863424
57632,2649921024
36244,2649957376
57596,2650014976
36216,2650051072
57572,2650108672
36320,2650145024
57712,2650202624
36284,2650238976
57700,2650296576
36284,2650332928
MARK 002
