#
ToothTime,Time
uS,uS
MARK 000
3.373,3.373
696,337329696
118736,337448448
92284,337540736
77552,337618304
63352,337681664
65916,337747584
53436,337801024
65176,337866208
52700,337918912
65088,337984000
52704,338036704
40084,338076800
43752,338120544
37624,338158176
16376,338174560
27512,338202080
19908,338221984
30124,338252096
16848,338268928
28828,338297760
21352,338319104
37192,338356288
28768,338385056
49440,338434496
40996,338475488
60768,338536256
89944,338626208
68464,338694656
35764,338730432
63336,338793760
41716,338835488
61732,338897216
46352,338943552
66348,339009888
48412,339058304
68016,339126336
49948,339176288
71744,339248032
51220,339299264
71864,339371136
100052,339471200
77536,339548736
43856,339592576
66816,339659392
50576,339709952
69240,339779200
51476,339830688
71760,339902464
52468,339954944
73444,340028384
53176,340081568
73944,340155520
53772,340209280
73208,340282496
111684,340394176
105588,340499776
51244,340551008
70220,340621216
54980,340676192
48084,340724288
26824,340751104
47616,340798720
42880,340841600
70232,340911840
52220,340964064
72048,341036096
53060,341089152
73024,341162176
126876,341289056
54004,341343072
73460,341416544
54332,341470880
73724,341544608
54532,341599136
73204,341672352
54980,341727328
72676,341800000
54968,341854976
73812,341928800
54936,341983744
73640,342057376
55392,342112768
72060,342184832
55012,342239840
72284,342312128
55260,342367392
73120,342440512
55376,342495872
72460,342568320
55244,342623552
71988,342695552
55004,342750560
72264,342822816
55400,342878208
71696,342949888
55332,343005216
72116,343077344
55460,343132800
72084,343204896
55160,343260064
71764,343331840
55568,343387392
71220,343458624
55420,343514048
70920,343584960
55560,343640512
70888,343711392
55144,343766528
71572,343838112
55668,343893792
71356,343965152
55544,344020704
72048,344092736
55764,344148512
71080,344219584
55136,344274720
72124,344346848
55600,344402432
72620,344475040
55616,344530656
72224,344602880
55776,344658656
71604,344730272
55092,344785376
72100,344857472
55628,344913088
MARK 001
MARK 002
55868.0,3.449
70692.0,345039648
55432.0,345095072
71852.0,345166912
55792.0,345222720
71568.0,345294272
55500.0,345349760
71560.0,345421312
55760.0,345477056
70900.0,345547968
55416.0,345603392
71132.0,345674528
55796.0,345730336
72456.0,345802784
55860.0,345858656
72136.0,345930784
55900.0,345986688
71860.0,346058560
55484.0,346114048
71548.0,346185600
55808.0,346241408
72852.0,346314272
55876.0,346370144
72712.0,346442848
56124.0,346498976
71952.0,346570944
55680.0,346626624
71096.0,346697728
55924.0,346753664
72836.0,346826496
55996.0,346882496
72616.0,346955104
56280.0,347011392
72024.0,347083424
55828.0,347139264
71352.0,347210624
55916.0,347266528
72808.0,347339328
55760.0,347395072
72532.0,347467616
56180.0,347523808
72204.0,347596000
55872.0,347651872
71564.0,347723424
56176.0,347779584
71144.0,347850720
55856.0,347906560
71656.0,347978208
56256.0,348034464
70628.0,348105088
55912.0,348160992
71160.0,348232160
56216.0,348288384
72352.0,348360736
56156.0,348416896
72472.0,348489376
56484.0,348545856
70968.0,348616832
55824.0,348672640
71180.0,348743808
56140.0,348799936
71740.0,348871680
56112.0,348927808
72052.0,348999872
56332.0,349056192
72268.0,349128448
56036.0,349184480
72056.0,349256544
56168.0,349312704
71984.0,349384704
55952.0,349440640
72096.0,349512736
56208.0,349568960
71580.0,349640544
56060.0,349696608
70660.0,349767264
56280.0,349823552
71692.0,349895232
56140.0,349951360
72104.0,350023456
56304.0,350079744
71508.0,350151264
55944.0,350207200
71116.0,350278304
56120.0,350334432
72252.0,350406688
56128.0,350462816
71668.0,350534496
56572.0,350591072
71424.0,350662496
55872.0,350718368
71248.0,350789632
56104.0,350845728
72536.0,350918272
56100.0,350974368
72684.0,351047040
56380.0,351103424
71980.0,351175392
55928.0,351231328
72532.0,351303872
56336.0,351360192
72504.0,351432704
56068.0,351488768
72904.0,351561664
56312.0,351617984
72444.0,351690432
56144.0,351746560
71952.0,351818496
56596.0,351875104
72364.0,351947456
56192.0,352003648
71960.0,352075616
56532.0,352132160
71208.0,352203360
56088.0,352259456
71312.0,352330752
56304.0,352387072
72088.0,352459168
56372.0,352515552
71404.0,352586944
56620.0,352643552
71392.0,352714944
56064.0,352771008
71372.0,352842368
56500.0,352898880
72344.0,352971232
56412.0,353027648
MARK 003
