#Firmware: Speeduino 2021.09-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,1.0,1.0,1.0,560535.4,560535.4,2274.308,560535.4
1.0,1.0,0.0,1.0,560543.1,560543.1,7.696,560543.1
1.0,0.0,1.0,1.0,560571.5,560571.5,28.408,560571.5
0.0,0.0,0.0,1.0,560578.94,560578.94,7.448,560578.94
1.0,0.0,0.0,1.0,560635.9,560635.9,56.912,560635.9
0.0,0.0,0.0,1.0,560671.56,560671.56,35.712,560671.56
0.0,1.0,1.0,1.0,560720.8,560720.8,49.216,560720.8
1.0,1.0,0.0,1.0,560728.5,560728.5,7.684,560728.5
0.0,1.0,0.0,1.0,560764.2,560764.2,35.736,560764.2
0.0,0.0,1.0,1.0,560793.25,560793.25,29.036,560793.25
1.0,0.0,0.0,1.0,560821.06,560821.06,27.816,560821.06
0.0,0.0,0.0,1.0,560856.8,560856.8,35.752,560856.8
0.0,1.0,1.0,1.0,560906.0,560906.0,49.208,560906.0
1.0,1.0,0.0,1.0,560913.75,560913.75,7.708,560913.75
1.0,0.0,1.0,1.0,560942.1,560942.1,28.424,560942.1
0.0,0.0,0.0,1.0,560949.6,560949.6,7.448,560949.6
1.0,0.0,0.0,1.0,561006.56,561006.56,56.988,561006.56
0.0,0.0,0.0,1.0,561042.44,561042.44,35.816,561042.44
0.0,1.0,1.0,1.0,561091.7,561091.7,49.252,561091.7
1.0,1.0,0.0,1.0,561099.4,561099.4,7.712,561099.4
0.0,1.0,0.0,1.0,561135.2,561135.2,35.828,561135.2
0.0,0.0,1.0,1.0,561164.25,561164.25,29.072,561164.25
1.0,0.0,0.0,1.0,561192.06,561192.06,27.812,561192.06
0.0,0.0,0.0,1.0,561227.9,561227.9,35.816,561227.9
0.0,1.0,1.0,1.0,561277.1,561277.1,49.208,561277.1
1.0,1.0,0.0,1.0,561284.8,561284.8,7.72,561284.8
1.0,0.0,1.0,1.0,561313.3,561313.3,28.464,561313.3
0.0,0.0,0.0,1.0,561320.75,561320.75,7.46,561320.75
1.0,0.0,0.0,1.0,561377.8,561377.8,57.032,561377.8
0.0,0.0,0.0,1.0,561413.6,561413.6,35.82,561413.6
0.0,1.0,1.0,1.0,561462.94,561462.94,49.304,561462.94
1.0,1.0,0.0,1.0,561470.6,561470.6,7.7,561470.6
0.0,1.0,0.0,1.0,561506.4,561506.4,35.78,561506.4
0.0,0.0,1.0,1.0,561535.44,561535.44,29.048,561535.44
1.0,0.0,0.0,1.0,561563.3,561563.3,27.892,561563.3
0.0,0.0,0.0,1.0,561599.1,561599.1,35.788,561599.1
0.0,1.0,1.0,1.0,561648.3,561648.3,49.2,561648.3
1.0,1.0,0.0,1.0,561656.0,561656.0,7.712,561656.0
1.0,0.0,1.0,1.0,561684.44,561684.44,28.436,561684.44
0.0,0.0,0.0,1.0,561691.94,561691.94,7.456,561691.94
1.0,0.0,0.0,1.0,561748.94,561748.94,57.044,561748.94
0.0,0.0,0.0,1.0,561784.8,561784.8,35.832,561784.8
0.0,1.0,1.0,1.0,561834.1,561834.1,49.308,561834.1
1.0,1.0,0.0,1.0,561841.8,561841.8,7.72,561841.8
0.0,1.0,0.0,1.0,561877.7,561877.7,35.844,561877.7
0.0,0.0,1.0,1.0,561906.8,561906.8,29.164,561906.8
1.0,0.0,0.0,1.0,561934.75,561934.75,27.888,561934.75
0.0,0.0,0.0,1.0,561970.56,561970.56,35.856,561970.56
0.0,1.0,1.0,1.0,562019.8,562019.8,49.26,562019.8
1.0,1.0,0.0,1.0,562027.56,562027.56,7.712,562027.56
1.0,0.0,1.0,1.0,562056.0,562056.0,28.472,562056.0
0.0,0.0,0.0,1.0,562063.5,562063.5,7.46,562063.5
1.0,0.0,0.0,1.0,562120.56,562120.56,57.104,562120.56
0.0,0.0,0.0,1.0,562156.5,562156.5,35.892,562156.5
0.0,1.0,1.0,1.0,562205.8,562205.8,49.332,562205.8
1.0,1.0,0.0,1.0,562213.5,562213.5,7.72,562213.5
0.0,1.0,0.0,1.0,562249.4,562249.4,35.844,562249.4
0.0,0.0,1.0,1.0,562278.44,562278.44,29.088,562278.44
1.0,0.0,0.0,1.0,562306.4,562306.4,27.9,562306.4
0.0,0.0,0.0,1.0,562342.25,562342.25,35.86,562342.25
0.0,1.0,1.0,1.0,562391.5,562391.5,49.256,562391.5
1.0,1.0,0.0,1.0,562399.2,562399.2,7.7,562399.2
1.0,0.0,1.0,1.0,562427.6,562427.6,28.44,562427.6
