#
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
0.0,0.0,0.0,0.0,215465.27,215465.27,2661.872,215465.27
1.0,0.0,0.0,0.0,215468.25,215468.25,2.984,215468.25
0.0,0.0,0.0,0.0,215472.05,215472.05,3.784,215472.05
1.0,0.0,0.0,0.0,215474.81,215474.81,2.776,215474.81
0.0,0.0,0.0,0.0,215478.58,215478.58,3.768,215478.58
1.0,0.0,0.0,0.0,215481.22,215481.22,2.628,215481.22
0.0,0.0,0.0,0.0,215484.67,215484.67,3.46,215484.67
1.0,0.0,0.0,0.0,215487.11,215487.11,2.444,215487.11
0.0,0.0,0.0,0.0,215490.36,215490.36,3.236,215490.36
1.0,0.0,0.0,0.0,215492.66,215492.66,2.3,215492.66
0.0,0.0,0.0,0.0,215495.64,215495.64,2.984,215495.64
1.0,0.0,0.0,0.0,215497.86,215497.86,2.216,215497.86
0.0,0.0,0.0,0.0,215500.47,215500.47,2.624,215500.47
1.0,0.0,0.0,0.0,215502.55,215502.55,2.064,215502.55
0.0,0.0,0.0,0.0,215505.2,215505.2,2.668,215505.2
1.0,0.0,0.0,0.0,215507.22,215507.22,2.004,215507.22
0.0,0.0,0.0,0.0,215509.75,215509.75,2.54,215509.75
1.0,0.0,0.0,0.0,215511.7,215511.7,1.944,215511.7
0.0,0.0,0.0,0.0,215514.22,215514.22,2.528,215514.22
1.0,0.0,0.0,0.0,215520.9,215520.9,6.684,215520.9
0.0,0.0,0.0,0.0,215528.03,215528.03,7.124,215528.03
1.0,0.0,0.0,0.0,215530.14,215530.14,2.104,215530.14
1.0,1.0,1.0,0.0,215531.88,215531.88,1.736,215531.88
0.0,1.0,0.0,0.0,215532.98,215532.98,1.12,215532.98
1.0,1.0,0.0,0.0,215535.23,215535.23,2.24,215535.23
0.0,1.0,0.0,0.0,215538.39,215538.39,3.152,215538.39
1.0,1.0,0.0,0.0,215540.88,215540.88,2.484,215540.88
0.0,1.0,0.0,0.0,215544.69,215544.69,3.812,215544.69
1.0,1.0,0.0,0.0,215547.6,215547.6,2.916,215547.6
0.0,1.0,0.0,0.0,215551.72,215551.72,4.124,215551.72
1.0,1.0,0.0,0.0,215554.39,215554.39,2.664,215554.39
0.0,1.0,0.0,0.0,215557.55,215557.55,3.168,215557.55
1.0,1.0,0.0,0.0,215560.06,215560.06,2.508,215560.06
0.0,1.0,0.0,0.0,215563.88,215563.88,3.82,215563.88
1.0,1.0,0.0,0.0,215566.81,215566.81,2.936,215566.81
0.0,1.0,0.0,0.0,215570.72,215570.72,3.896,215570.72
1.0,1.0,0.0,0.0,215573.55,215573.55,2.828,215573.55
0.0,1.0,0.0,0.0,215577.17,215577.17,3.632,215577.17
1.0,1.0,0.0,0.0,215580.14,215580.14,2.972,215580.14
0.0,1.0,0.0,0.0,215584.34,215584.34,4.204,215584.34
1.0,1.0,0.0,0.0,215587.11,215587.11,2.764,215587.11
0.0,1.0,0.0,0.0,215590.89,215590.89,3.772,215590.89
1.0,1.0,0.0,0.0,215593.61,215593.61,2.72,215593.61
0.0,1.0,0.0,0.0,215597.48,215597.48,3.884,215597.48
1.0,1.0,0.0,0.0,215600.33,215600.33,2.844,215600.33
0.0,1.0,0.0,0.0,215604.14,215604.14,3.816,215604.14
1.0,1.0,0.0,0.0,215606.97,215606.97,2.824,215606.97
0.0,1.0,0.0,0.0,215610.73,215610.73,3.756,215610.73
1.0,1.0,0.0,0.0,215613.36,215613.36,2.628,215613.36
0.0,1.0,0.0,0.0,215616.6,215616.6,3.24,215616.6
1.0,1.0,0.0,0.0,215619.0,215619.0,2.4,215619.0
