#Firmware: Speeduino 2021.09-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
1.0,0.0,1.0,0.0,45921.957,45921.957,NaN,45921.957
1.0,1.0,1.0,0.0,45922.797,45922.797,0.84,45922.797
0.0,1.0,0.0,0.0,51872.69,51872.69,5949.896,51872.69
1.0,1.0,0.0,0.0,51878.812,51878.812,6.12,51878.812
0.0,1.0,0.0,0.0,51906.547,51906.547,27.736,51906.547
1.0,1.0,0.0,0.0,51915.492,51915.492,8.944,51915.492
0.0,1.0,0.0,0.0,51922.656,51922.656,7.164,51922.656
1.0,1.0,0.0,0.0,51927.66,51927.66,5.004,51927.66
0.0,1.0,0.0,0.0,51935.367,51935.367,7.708,51935.367
1.0,1.0,0.0,0.0,51939.797,51939.797,4.428,51939.797
0.0,1.0,0.0,0.0,51945.59,51945.59,5.792,51945.59
1.0,1.0,0.0,0.0,51950.29,51950.29,4.7,51950.29
0.0,1.0,0.0,0.0,51956.11,51956.11,5.82,51956.11
1.0,1.0,0.0,0.0,51960.074,51960.074,3.968,51960.074
0.0,1.0,0.0,0.0,51966.184,51966.184,6.108,51966.184
1.0,1.0,0.0,0.0,51970.34,51970.34,4.156,51970.34
0.0,1.0,0.0,0.0,51975.79,51975.79,5.448,51975.79
1.0,1.0,0.0,0.0,51979.895,51979.895,4.108,51979.895
0.0,1.0,0.0,0.0,51985.438,51985.438,5.54,51985.438
1.0,1.0,0.0,0.0,51989.297,51989.297,3.86,51989.297
0.0,1.0,0.0,0.0,51994.93,51994.93,5.632,51994.93
1.0,1.0,0.0,0.0,51998.88,51998.88,3.952,51998.88
0.0,1.0,0.0,0.0,52004.04,52004.04,5.16,52004.04
1.0,1.0,0.0,0.0,52007.945,52007.945,3.904,52007.945
0.0,1.0,0.0,0.0,52013.234,52013.234,5.292,52013.234
1.0,1.0,0.0,0.0,52017.05,52017.05,3.816,52017.05
0.0,1.0,0.0,0.0,52022.09,52022.09,5.036,52022.09
1.0,1.0,0.0,0.0,52025.777,52025.777,3.688,52025.777
0.0,1.0,0.0,0.0,52030.55,52030.55,4.776,52030.55
1.0,1.0,0.0,0.0,52034.152,52034.152,3.6,52034.152
0.0,1.0,0.0,0.0,52039.152,52039.152,5.0,52039.152
1.0,1.0,0.0,0.0,52042.6,52042.6,3.448,52042.6
0.0,1.0,0.0,0.0,52047.137,52047.137,4.536,52047.137
1.0,1.0,0.0,0.0,52050.477,52050.477,3.34,52050.477
0.0,1.0,0.0,0.0,52055.07,52055.07,4.596,52055.07
1.0,1.0,0.0,0.0,52058.445,52058.445,3.372,52058.445
0.0,1.0,0.0,0.0,52062.793,52062.793,4.348,52062.793
1.0,1.0,0.0,0.0,52066.066,52066.066,3.276,52066.066
0.0,1.0,0.0,0.0,52070.527,52070.527,4.46,52070.527
1.0,1.0,0.0,0.0,52073.766,52073.766,3.236,52073.766
0.0,1.0,0.0,0.0,52078.29,52078.29,4.524,52078.29
1.0,1.0,0.0,0.0,52081.395,52081.395,3.108,52081.395
0.0,1.0,0.0,0.0,52085.625,52085.625,4.228,52085.625
1.0,1.0,0.0,0.0,52095.34,52095.34,9.716,52095.34
0.0,1.0,0.0,0.0,52108.293,52108.293,12.952,52108.293
1.0,1.0,0.0,0.0,52111.5,52111.5,3.208,52111.5
0.0,1.0,0.0,0.0,52116.164,52116.164,4.664,52116.164
1.0,1.0,0.0,0.0,52119.48,52119.48,3.316,52119.48
0.0,1.0,0.0,0.0,52123.92,52123.92,4.44,52123.92
1.0,1.0,0.0,0.0,52127.273,52127.273,3.352,52127.273
0.0,1.0,0.0,0.0,52132.2,52132.2,4.928,52132.2
1.0,1.0,0.0,0.0,52135.688,52135.688,3.488,52135.688
0.0,1.0,0.0,0.0,52140.66,52140.66,4.972,52140.66
1.0,1.0,0.0,0.0,52144.29,52144.29,3.628,52144.29
0.0,1.0,0.0,0.0,52149.59,52149.59,5.3,52149.59
1.0,1.0,0.0,0.0,52153.49,52153.49,3.9,52153.49
0.0,1.0,0.0,0.0,52159.137,52159.137,5.648,52159.137
1.0,1.0,0.0,0.0,52163.223,52163.223,4.088,52163.223
0.0,1.0,0.0,0.0,52168.926,52168.926,5.7,52168.926
1.0,1.0,0.0,0.0,52173.105,52173.105,4.18,52173.105
0.0,1.0,0.0,0.0,52179.598,52179.598,6.492,52179.598
1.0,1.0,0.0,0.0,52183.883,52183.883,4.288,52183.883
0.0,1.0,0.0,0.0,52190.03,52190.03,6.148,52190.03
1.0,1.0,0.0,0.0,52194.5,52194.5,4.468,52194.5
0.0,1.0,0.0,0.0,52200.496,52200.496,5.996,52200.496
1.0,1.0,0.0,0.0,52204.953,52204.953,4.456,52204.953
0.0,1.0,0.0,0.0,52211.004,52211.004,6.052,52211.004
1.0,1.0,0.0,0.0,52215.254,52215.254,4.248,52215.254
0.0,1.0,0.0,0.0,52220.473,52220.473,5.22,52220.473
1.0,1.0,0.0,0.0,52224.43,52224.43,3.956,52224.43
0.0,1.0,0.0,0.0,52229.44,52229.44,5.012,52229.44
1.0,1.0,0.0,0.0,52232.906,52232.906,3.468,52232.906
0.0,1.0,0.0,0.0,52237.047,52237.047,4.14,52237.047
1.0,1.0,0.0,0.0,52240.05,52240.05,3.004,52240.05
0.0,1.0,0.0,0.0,52243.69,52243.69,3.64,52243.69
1.0,1.0,0.0,0.0,52246.36,52246.36,2.668,52246.36
0.0,1.0,0.0,0.0,52249.82,52249.82,3.46,52249.82
1.0,1.0,0.0,0.0,52252.27,52252.27,2.448,52252.27
0.0,1.0,0.0,0.0,52255.273,52255.273,3.004,52255.273
1.0,1.0,0.0,0.0,52257.527,52257.527,2.256,52257.527
0.0,1.0,0.0,0.0,52260.54,52260.54,3.012,52260.54
1.0,1.0,0.0,0.0,52262.74,52262.74,2.2,52262.74
0.0,1.0,0.0,0.0,52265.58,52265.58,2.84,52265.58
1.0,1.0,0.0,0.0,52271.62,52271.62,6.04,52271.62
0.0,1.0,0.0,0.0,52281.332,52281.332,9.712,52281.332
1.0,1.0,0.0,0.0,52283.72,52283.72,2.388,52283.72
0.0,1.0,0.0,0.0,52287.086,52287.086,3.364,52287.086
1.0,1.0,0.0,0.0,52289.76,52289.76,2.676,52289.76
0.0,1.0,0.0,0.0,52294.03,52294.03,4.272,52294.03
1.0,1.0,0.0,0.0,52297.285,52297.285,3.252,52297.285
0.0,1.0,0.0,0.0,52302.3,52302.3,5.016,52302.3
1.0,1.0,0.0,0.0,52305.117,52305.117,2.816,52305.117
0.0,1.0,0.0,0.0,52308.65,52308.65,3.532,52308.65
1.0,1.0,0.0,0.0,52311.547,52311.547,2.9,52311.547
0.0,1.0,0.0,0.0,52316.55,52316.55,5.004,52316.55
1.0,1.0,0.0,0.0,52319.86,52319.86,3.308,52319.86
0.0,1.0,0.0,0.0,52323.71,52323.71,3.852,52323.71
1.0,1.0,0.0,0.0,52326.758,52326.758,3.044,52326.758
0.0,1.0,0.0,0.0,52331.984,52331.984,5.228,52331.984
1.0,1.0,0.0,0.0,52335.145,52335.145,3.16,52335.145
0.0,1.0,0.0,0.0,52339.367,52339.367,4.224,52339.367
1.0,1.0,0.0,0.0,52342.805,52342.805,3.436,52342.805
0.0,1.0,0.0,0.0,52347.734,52347.734,4.932,52347.734
1.0,1.0,0.0,0.0,52351.01,52351.01,3.276,52351.01
0.0,1.0,0.0,0.0,52355.84,52355.84,4.828,52355.84
1.0,1.0,0.0,0.0,52359.36,52359.36,3.52,52359.36
0.0,1.0,0.0,0.0,52363.844,52363.844,4.484,52363.844
1.0,1.0,0.0,0.0,52366.98,52366.98,3.136,52366.98
0.0,1.0,0.0,0.0,52371.285,52371.285,4.304,52371.285
1.0,1.0,0.0,0.0,52374.234,52374.234,2.952,52374.234
0.0,1.0,0.0,0.0,52377.97,52377.97,3.732,52377.97
1.0,1.0,0.0,0.0,52380.59,52380.59,2.62,52380.59
0.0,1.0,0.0,0.0,52383.906,52383.906,3.32,52383.906
1.0,1.0,0.0,0.0,52386.285,52386.285,2.376,52386.285
0.0,1.0,0.0,0.0,52389.285,52389.285,3.0,52389.285
1.0,1.0,0.0,0.0,52391.5,52391.5,2.216,52391.5
0.0,1.0,0.0,0.0,52394.13,52394.13,2.628,52394.13
1.0,1.0,0.0,0.0,52396.17,52396.17,2.044,52396.17
